name,symptoms,treatment
Đái tháo đường,"khát nước, tiểu nhiều, mệt mỏi","ăn kiêng, tiêm insulin, thuốc hạ đường huyết"
Tăng huyết áp,"đau đầu, chóng mặt, mờ mắt","thuốc hạ huyết áp, giảm muối, tập thể dục"
Viêm gan B,"mệt mỏi, vàng da, đau bụng","thuốc kháng virus, nghỉ ngơi, theo dõi chức năng gan"
Suy thận mạn,"phù, tiểu ít, mệt mỏi","lọc máu, thuốc điều chỉnh, chế độ ăn ít đạm"
Viêm phổi,"sốt, ho có đờm, khó thở","kháng sinh, nghỉ ngơi, uống đủ nước"
Loét dạ dày,"đau bụng, ợ chua, buồn nôn","thuốc ức chế axit, kháng sinh, tránh thực phẩm kích thích"
Đau nửa đầu,"đau đầu dữ dội, buồn nôn, sợ ánh sáng","thuốc giảm đau, nghỉ ngơi, tránh kích thích"
Viêm khớp dạng thấp,"đau khớp, cứng khớp, sưng","thuốc chống viêm, vật lý trị liệu, nghỉ ngơi"
Hen suyễn,"khó thở, khò khè, tức ngực","thuốc giãn phế quản, tránh tác nhân dị ứng"
Sốt xuất huyết,"sốt cao, đau cơ, phát ban","truyền dịch, nghỉ ngơi, theo dõi tại bệnh viện"
Viêm họng,"đau họng, sốt, khó nuốt","súc miệng nước muối, kháng sinh nếu nhiễm khuẩn"
Tiểu đường type 2,"mệt mỏi, khát nước, mờ mắt","thuốc hạ đường huyết, ăn kiêng, tập thể dục"
Lao phổi,"ho kéo dài, sốt nhẹ, sút cân","thuốc chống lao, nghỉ ngơi, dinh dưỡng tốt"
Viêm da dị ứng,"ngứa, đỏ da, phát ban","kem bôi corticosteroid, tránh chất gây dị ứng"
Suy tim,"khó thở, phù chân, mệt mỏi","thuốc lợi tiểu, thuốc giãn mạch, nghỉ ngơi"
Viêm mũi dị ứng,"hắt hơi, ngạt mũi, chảy nước mũi","thuốc kháng histamin, tránh dị nguyên"
Ung thư phổi,"ho mãn, đau ngực, khó thở","phẫu thuật, hóa trị, xạ trị"
Đột quỵ,"yếu liệt, nói khó, đau đầu đột ngột","cấp cứu, thuốc tiêu sợi huyết, phục hồi chức năng"
Bệnh gout,"đau khớp, sưng đỏ, nóng","thuốc giảm axit uric, chế độ ăn ít purin"
Viêm loét đại tràng,"đau bụng, tiêu chảy, phân máu","thuốc chống viêm, chế độ ăn phù hợp"
Thiếu máu,"mệt mỏi, da nhợt, chóng mặt","bổ sung sắt, vitamin B12, truyền máu nếu cần"
Sỏi thận,"đau lưng, tiểu buốt, tiểu máu","uống nhiều nước, thuốc tan sỏi, phẫu thuật nếu cần"
Viêm gan C,"mệt mỏi, vàng da, đau bụng","thuốc kháng virus, nghỉ ngơi, theo dõi gan"
Bệnh Parkinson,"run tay, cứng cơ, chậm vận động","thuốc tăng dopamine, vật lý trị liệu"
Tăng nhãn áp,"đau mắt, mờ mắt, buồn nôn","thuốc nhỏ mắt, phẫu thuật nếu cần"
Viêm bàng quang,"tiểu rắt, đau bụng dưới, sốt","kháng sinh, uống nhiều nước, nghỉ ngơi"
Động kinh,"co giật, mất ý thức, mệt mỏi","thuốc chống động kinh, theo dõi định kỳ"
Bệnh Basedow,"bướu cổ, tim đập nhanh, sụt cân","thuốc kháng giáp, phẫu thuật nếu cần"
Viêm tai giữa,"đau tai, sốt, giảm thính lực","kháng sinh, thuốc giảm đau, nghỉ ngơi"
Suy giáp,"mệt mỏi, tăng cân, da khô","thuốc thay thế hormone, theo dõi định kỳ"
Viêm ruột thừa,"đau bụng phải, sốt, buồn nôn","phẫu thuật cắt ruột thừa, kháng sinh"
Bệnh trĩ,"đau hậu môn, chảy máu, ngứa","thuốc bôi, phẫu thuật, chế độ ăn nhiều chất xơ"
Hội chứng ruột kích thích,"đau bụng, tiêu chảy, táo bón","thuốc điều hòa nhu động ruột, chế độ ăn phù hợp"
Viêm phế quản mạn,"ho có đờm, khó thở, mệt mỏi","thuốc giãn phế quản, tránh khói bụi"
